id;latitude;longitude;score;UGA
210006102;47,625617;4,338392;91;21MON
210006136;47,622727;4,336293;200;21MON
210006383;47,297;4,808144;140;21MON
210006433;47,26221;4,555961;91;21MON
210006466;47,262622;4,555935;90;21MON
210006482;47,388784;4,306788;80;21MON
210006805;47,439499;4,787906;124;21MON
210007001;47,490924;4,339161;110;21MON
210007035;47,491656;4,335033;114;21MON
210007183;47,312395;4,709975;37;21MON
210007357;47,542656;4,462846;200;21MON
210007373;47,543167;4,458008;135;21MON
210007407;47,397645;4,540031;46;21MON
2A0001616;42,268214;8,694257;105;20CAL
2B0001028;42,626631;8,923565;197;20CAL
2B0001374;42,509522;8,857428;74;20CAL
2B0002315;42,334916;9,025872;43;20CAL
2B0002331;42,562639;8,754113;82;20CAL
2B0002356;42,618961;9,009379;76;20CAL
2B0002364;42,680438;9,302036;106;20CAL
2B0002554;42,680438;9,302036;199;20CAL
2B0002570;42,577295;9,32581;129;20CAL
2B0002604;42,545619;8,759589;93;20CAL
2B0002612;42,601247;8,826665;188;20CAL
2B0002695;42,114914;9,513296;145;20CAL
2B0002760;42,306348;9,15085;46;20CAL
2B0002844;42,114914;9,513296;154;20CAL
2B0002885;42,302265;9,157248;31;20CAL
2B0002893;42,019512;9,408654;48;20CAL
2B0002976;42,234705;9,178185;88;20CAL
2B0002984;42,634305;8,938354;127;20CAL
2B0002992;42,565526;8,756462;185;20CAL
2B0003230;42,019512;9,408654;69;20CAL
2B0003396;42,633783;8,93844;44;20CAL
2B0003677;42,464166;9,200851;114;20CAL
2B0003933;42,464166;9,200851;173;20CAL
030002976;46,167299;2,631863;146;63SEL
190008250;45,661743;2,45124;199;63SEL
190008722;45,64668;2,461199;105;63SEL
230002776;45,917085;2,484426;89;63SEL
630002673;45,925269;2,811002;138;63SEL
630002970;45,661441;2,976184;86;63SEL
630003135;45,511176;2,934017;85;63SEL
630003150;45,507404;2,918851;184;63SEL
630003283;45,588437;2,737153;173;63SEL
630003317;45,588585;2,737823;181;63SEL
630003366;45,649079;2,5641;157;63SEL
630003853;45,58767;3,128977;135;63SEL
630003887;45,588099;3,129559;128;63SEL
630006203;45,790782;2,745603;197;63SEL
630006302;45,80664;2,470365;99;63SEL
630006336;45,754856;2,569638;113;63SEL
630006617;45,527472;2,67427;186;63SEL
630006773;45,962229;2,941584;35;63SEL
630006906;46,104714;2,874752;86;63SEL
630006955;45,615889;2,540905;70;63SEL
630006971;45,613628;2,556301;168;63SEL
630007052;46,179944;2,80738;103;63SEL
630007086;45,575062;2,808793;73;63SEL
630007151;45,939388;2,581705;69;63SEL
630007201;45,574343;2,94189;32;63SEL
630007250;45,736325;2,867632;25;63SEL
630007417;45,543638;3,21223;175;63SEL
630007466;46,111745;2,696318;132;63SEL
630007482;45,8679;2,675794;173;63SEL
630007573;45,833109;2,850015;61;63SEL
630007607;45,832028;2,851641;164;63SEL
630007987;45,685464;2,804416;68;63SEL
630008357;46,160971;2,834209;167;63SEL
630008407;45,936741;2,840108;114;63SEL
630008506;46,028921;2,820465;153;63SEL
630008555;45,588056;2,992709;181;63SEL
630008621;45,606344;2,689965;199;63SEL
630008720;45,561034;2,622554;121;63SEL
090000712;42,720094;1,838597;103;09FOI
090000746;43,012253;1,430512;125;09FOI
090000795;42,784317;1,690049;141;09FOI
090000811;42,921054;1,031599;97;09FOI
090000845;43,146458;1,302866;105;09FOI
090000860;42,976282;1,608713;134;09FOI
090000894;42,964513;1,605351;132;09FOI
090000944;42,965007;1,608265;146;09FOI
090000977;42,964179;1,596956;22;09FOI
090000993;42,964246;1,609081;25;09FOI
090001025;43,175132;1,407315;24;09FOI
090001215;43,079543;1,360641;42;09FOI
090001231;42,891154;1,342323;69;09FOI
090001595;43,125162;1,17465;149;09FOI
090001611;42,984259;1,145707;26;09FOI
090001645;42,988447;1,139599;170;09FOI
090001660;42,983824;1,142691;138;09FOI
090001926;42,885068;1,22935;167;09FOI
090001942;42,847534;1,605919;34;09FOI
090001991;42,845563;1,602277;165;09FOI
090002122;42,782405;1,475853;68;09FOI
090002585;43,008007;1,121682;154;09FOI
310009691;43,205173;1,228473;173;09FOI
540017597;48,95234;5,866285;174;55VER
550001317;49,175278;5,380218;111;55VER
550001382;49,106065;5,071481;138;55VER
550001523;49,344078;5,401547;93;55VER
550001556;49,072173;5,429749;59;55VER
550001572;49,136964;5,190815;47;55VER
550001606;49,384784;5,184044;133;55VER
550001622;49,213426;5,634439;95;55VER
550001655;49,213572;5,635708;120;55VER
550001705;49,096353;5,626857;166;55VER
550001754;48,973685;5,510953;125;55VER
550002026;48,899069;5,329541;148;55VER
550002141;48,891601;5,540837;111;55VER
550002380;49,163653;5,367977;30;55VER
550002497;49,228642;5,040857;170;55VER
550002562;49,159848;5,3846;129;55VER
550002612;49,164802;5,383749;112;55VER
550002646;49,151956;5,396385;174;55VER
550002661;49,162298;5,375983;105;55VER
550002695;49,158596;5,386683;120;55VER
550002711;49,163981;5,39557;146;55VER
550002745;49,162196;5,384734;82;55VER
550002760;49,155316;5,390834;55;55VER
550002794;48,979025;5,714013;149;55VER
550006852;49,233159;5,041093;66;55VER
120001532;44,154144;3,097998;175;12MIL
120001656;43,816723;2,752005;185;12MIL
120001706;43,823425;2,877977;105;12MIL
120001870;44,009092;3,157954;51;12MIL
120001904;43,954717;2,580561;132;12MIL
120002563;44,100394;3,078832;90;12MIL
120002597;44,094292;3,07399;67;12MIL
120002613;44,107744;3,081767;80;12MIL
120002647;44,099069;3,081156;57;12MIL
120002662;44,099633;3,079531;42;12MIL
120002696;44,106002;3,074611;185;12MIL
120002712;44,100109;3,078306;136;12MIL
120002746;44,117514;3,070438;62;12MIL
120002761;44,098892;3,076985;173;12MIL
120002795;44,098038;3,079375;62;12MIL
120003181;44,031732;2,536261;22;12MIL
